year,countyID,tractID,white,nonwhite
1940,189,1,3132,294
1940,189,2,2833,8
1940,189,3,1114,5
1940,189,4,2062,64
1940,189,5,1363,6
1940,189,6,1565,443
1940,189,7,4611,32
1940,189,8,95,74
1940,189,9,1154,3608
1940,189,10,2305,21
1940,189,11,3381,17
1940,189,12,719,0
1940,189,13,4405,4
1940,189,14,6061,1
1940,189,15,6571,5
1940,189,16,7966,7
1940,189,17,2983,4
1940,189,18,3887,104
1940,189,19,2420,0
1940,189,20,1940,1
1940,189,21,1881,0
1940,189,22,2174,0
1940,189,23,5612,37
1940,189,24,1641,1
1940,189,25,2546,153
1940,189,26,3998,2
1940,189,27,3518,2
1940,189,28,1993,2
1940,189,29,2341,43
1940,189,30,5811,340
1940,189,31,2732,149
1940,189,32,3207,3
1940,189,33,10617,123
1940,189,34,8565,123
1940,189,35,4607,10
1940,189,36,1118,3
1940,189,37,4600,47
1940,189,38,967,20
1940,189,39,803,488
1940,189,40,1538,8
1940,189,41,1851,80
1940,189,42,1200,71
1940,189,43,2528,182
1940,189,44,2211,82
1940,189,45,6308,270
1940,189,46,4144,54
1940,189,47,62,11
1940,189,48,5604,12
1940,189,49,4658,862
1940,189,50,1629,37
1940,189,51,4025,365
1940,189,52,2332,129
1940,189,53,4123,5
1940,189,54,4813,1
1940,189,55,1465,7
1940,189,56,2179,3
1940,189,57,5172,146
1940,189,58,2856,33
1940,189,59,2114,884
1940,189,60,3496,47
1940,189,61,3637,9
1940,189,62,469,544
1940,189,63,1821,0
1940,189,64,153,0
1940,189,65,2490,36
1940,189,66,157,11
1940,189,67,1558,14
1940,189,68,2378,99
1940,189,69,1775,22
1940,189,70,1545,292
1940,189,71,3115,346
1940,189,72,986,2
1940,189,73,1820,90
1940,189,74,1806,57
1940,189,75,2379,60
1940,189,76,2048,43
1940,189,77,2816,844
1940,189,78,768,21
1940,189,79,1769,22
1940,189,80,1103,0
1940,189,81,5065,1
1940,189,82,2494,0
1940,189,83,1885,3
1940,189,84,1909,1
1940,189,85,4285,154
1940,189,86,3279,1
1940,189,87,9193,24
1940,189,88,763,2
1940,510,1A,1169,0
1940,510,1B,1713,1
1940,510,1C,6225,4
1940,510,1D,4674,182
1940,510,1E,5570,13
1940,510,1F,2557,88
1940,510,1G,5500,314
1940,510,2A,2442,0
1940,510,2B,6659,1
1940,510,2C,1400,0
1940,510,2D,3582,0
1940,510,2E,2499,1
1940,510,3A,1424,0
1940,510,3B,3589,0
1940,510,3C,1301,1
1940,510,3D,3433,1
1940,510,3E,1279,6
1940,510,3F,1849,0
1940,510,3G,4092,0
1940,510,4A,4035,3
1940,510,4B,5594,8
1940,510,4C,3528,75
1940,510,4D,667,11
1940,510,5A,4915,78
1940,510,5B,7311,91
1940,510,5C,7490,222
1940,510,5D,6936,72
1940,510,5E,9197,56
1940,510,6A,10968,27
1940,510,6B,6272,16
1940,510,6C,8432,10
1940,510,6D,7046,197
1940,510,6E,8354,19
1940,510,6F,8419,29
1940,510,6G,8181,2
1940,510,7A,806,3
1940,510,7B,3541,0
1940,510,7C,5509,3
1940,510,7D,6850,2
1940,510,7E,6443,1
1940,510,7F,4308,11
1940,510,7G,6800,3
1940,510,8A,3766,2
1940,510,8B,2025,0
1940,510,8C,1801,0
1940,510,8D,927,17
1940,510,8E,1413,83
1940,510,8F,287,12
1940,510,9A,6242,4
1940,510,9B,897,100
1940,510,9C,5881,108
1940,510,9D,3650,48
1940,510,9E,5129,41
1940,510,10A,7608,16
1940,510,10B,7011,51
1940,510,10C,6894,1611
1940,510,10D,6883,17
1940,510,10E,6929,4
1940,510,11A,853,12833
1940,510,11B,5556,5247
1940,510,11C,1031,9477
1940,510,11D,6588,2242
1940,510,11E,7642,1261
1940,510,12A,8752,237
1940,510,12B,7899,49
1940,510,12C,8727,116
1940,510,12D,7965,145
1940,510,13A,7801,522
1940,510,13B,3602,0
1940,510,13C,2065,29
1940,510,13D,1817,2
1940,510,14A,8901,24
1940,510,14B,3267,0
1940,510,14C,8127,1
1940,510,15A,5325,0
1940,510,15B,3890,0
1940,510,15C,6614,4
1940,510,15D,4513,4
1940,510,15E,9456,13
1940,510,15F,8133,246
1940,510,15G,6300,31
1940,510,16A,4163,1
1940,510,16B,8273,2
1940,510,16C,9866,17
1940,510,16D,8840,7
1940,510,16E,8070,27
1940,510,17A,4169,6
1940,510,17B,14411,18
1940,510,17C,10025,31
1940,510,17D,8456,33
1940,510,18A,6855,13
1940,510,18B,7895,270
1940,510,18C,1688,240
1940,510,18D,139,4148
1940,510,18E,3548,3272
1940,510,19A,10131,136
1940,510,19B,6739,1497
1940,510,19C,8502,329
1940,510,20A,5033,2240
1940,510,20B,5559,45
1940,510,20C,13020,94
1940,510,21A,642,9699
1940,510,21B,698,11317
1940,510,21C,2676,12198
1940,510,21D,815,5739
1940,510,22A,4066,5970
1940,510,22B,561,5238
1940,510,22C,714,258
1940,510,22D,9305,273
1940,510,23A,12461,14
1940,510,23B,11339,16
1940,510,23C,9918,5
1940,510,23D,17683,182
1940,510,23E,6719,1331
1940,510,24A,10444,9
1940,510,24B,7976,5
1940,510,24C,11293,3
1940,510,24D,2538,0
1940,510,24E,3588,7
1940,510,25A,1938,953
1940,510,25B,4323,6616
1940,510,25C,3061,104
1940,510,25D,985,70
1940,510,26A,11558,131
1940,510,26B,3816,487
1940,510,26C,7228,39
1940,510,26D,5528,7
1940,510,26E,4813,9
